symbol,side,entry_px,exit_px,qty,pnl,outcome,entry_ts,exit_ts
ADAUSDT,SELL,0.7110288899999999,0.70996224,60.0,0.064,TP,1749560070000,1749560610000
ADAUSDT,SELL,0.71032896,0.7092623100000001,60.0,0.064,TP,1749560670000,1749560730000
ADAUSDT,SELL,0.70852914,0.71030689,60.0,-0.1067,SL,1749560805000,1749561090000
ADAUSDT,SELL,0.71032896,0.7092623100000001,60.0,0.064,TP,1749561105000,1749561630000
ADAUSDT,SELL,0.70872912,0.70766247,60.0,0.064,TP,1749561705000,1749561870000
ADAUSDT,SELL,0.7075292400000001,0.7064625900000001,60.0,0.064,TP,1749561945000,1749562110000
ADAUSDT,SELL,0.70552944,0.70730719,60.0,-0.1067,SL,1749562185000,1749562230000
ADAUSDT,SELL,0.70672932,0.70566267,60.0,0.064,TP,1749562245000,1749562290000
ADAUSDT,SELL,0.7049295,0.70386285,60.0,0.064,TP,1749562335000,1749562350000
ADAUSDT,SELL,0.70182981,0.70076316,60.0,0.064,TP,1749562395000,1749562410000
ADAUSDT,SELL,0.7011298800000001,0.7000632300000001,60.0,0.064,TP,1749562455000,1749562470000
ADAUSDT,SELL,0.70122987,0.7001632200000001,60.0,0.064,TP,1749562515000,1749562530000
ADAUSDT,SELL,0.69873012,0.70050787,60.0,-0.1067,SL,1749562605000,1749562770000
ADAUSDT,SELL,0.70082991,0.69976326,60.0,0.064,TP,1749562785000,1749562890000
ADAUSDT,SELL,0.6989301,0.69786345,60.0,0.064,TP,1749562965000,1749563010000
ADAUSDT,SELL,0.6980301900000001,0.6969635400000002,60.0,0.064,TP,1749563055000,1749563070000
ADAUSDT,SELL,0.6980301900000001,0.6969635400000002,60.0,0.064,TP,1749563130000,1749563145000
ADAUSDT,SELL,0.69713028,0.69606363,60.0,0.064,TP,1749563175000,1749563190000
ADAUSDT,SELL,0.6980301900000001,0.6998079400000001,60.0,-0.1067,SL,1749563250000,1749563295000
ADAUSDT,BUY,0.6990698999999999,0.7001365499999999,60.0,0.064,TP,1749563385000,1749563490000
ADAUSDT,BUY,0.6999699899999999,0.7010366399999999,60.0,0.064,TP,1749563550000,1749563910000
ADAUSDT,BUY,0.7014701400000001,0.69969239,60.0,-0.1067,SL,1749563985000,1749564150000
ADAUSDT,BUY,0.69846984,0.69953649,60.0,0.064,TP,1749564165000,1749564195000
ADAUSDT,SELL,0.69773022,0.69666357,60.0,0.064,TP,1749564285000,1749564510000
ADAUSDT,SELL,0.69663033,0.69840808,60.0,-0.1067,SL,1749564570000,1749564630000
ADAUSDT,SELL,0.69903009,0.7008078400000001,60.0,-0.1067,SL,1749564645000,1749564795000
ADAUSDT,BUY,0.69876987,0.69699212,60.0,-0.1067,SL,1749564870000,1749565050000
ADAUSDT,SELL,0.69783021,0.6967635600000001,60.0,0.064,TP,1749565110000,1749565170000
ADAUSDT,SELL,0.69653034,0.69830809,60.0,-0.1067,SL,1749565245000,1749565470000
ADAUSDT,SELL,0.69823017,0.69716352,60.0,0.064,TP,1749565485000,1749565590000
ADAUSDT,SELL,0.69733026,0.69626361,60.0,0.064,TP,1749565635000,1749565710000
ADAUSDT,SELL,0.69583041,0.6947637600000001,60.0,0.064,TP,1749565770000,1749565950000
ADAUSDT,SELL,0.69263073,0.69440848,60.0,-0.1067,SL,1749566025000,1749566175000
ADAUSDT,SELL,0.69323067,0.6921640200000001,60.0,0.064,TP,1749566190000,1749566490000
ADAUSDT,SELL,0.6929306999999999,0.69186405,60.0,0.064,TP,1749566550000,1749566610000
ADAUSDT,SELL,0.69223077,0.69116412,60.0,0.064,TP,1749566655000,1749566670000
ADAUSDT,SELL,0.6910308900000001,0.6928086400000001,60.0,-0.1067,SL,1749566745000,1749566970000
ADAUSDT,SELL,0.69333066,0.69226401,60.0,0.064,TP,1749566985000,1749567090000
ADAUSDT,SELL,0.69173082,0.69066417,60.0,0.064,TP,1749567150000,1749567690000
ADAUSDT,SELL,0.69163083,0.6905641800000001,60.0,0.064,TP,1749567750000,1749567855000
ADAUSDT,SELL,0.6929306999999999,0.6947084499999999,60.0,-0.1067,SL,1749567930000,1749568155000
ADAUSDT,BUY,0.69296929,0.6940359399999999,60.0,0.064,TP,1749568215000,1749568230000
ADAUSDT,BUY,0.69346934,0.69453599,60.0,0.064,TP,1749568275000,1749568290000
ADAUSDT,BUY,0.69586958,0.6969362299999999,60.0,0.064,TP,1749568365000,1749568530000
ADAUSDT,BUY,0.69846984,0.69669209,60.0,-0.1067,SL,1749568605000,1749568710000
ADAUSDT,BUY,0.69666966,0.69489191,60.0,-0.1067,SL,1749568725000,1749569430000
ADAUSDT,BUY,0.6941694100000001,0.6923916600000001,60.0,-0.1067,SL,1749569445000,1749569490000
ADAUSDT,SELL,0.69283071,0.69176406,60.0,0.064,TP,1749569535000,1749569550000
