symbol,side,entry_px,exit_px,qty,pnl,outcome,entry_ts,exit_ts
AVAXUSDT,BUY,22.4182416,22.451840100000002,1.0,0.0336,TP,1749560325000,1749560475000
AVAXUSDT,BUY,22.4072405,22.440839,1.0,0.0336,TP,1749560490000,1749561150000
AVAXUSDT,BUY,22.434243199999997,22.378245699999997,1.0,-0.056,SL,1749561195000,1749561630000
AVAXUSDT,BUY,22.3962394,22.3402419,1.0,-0.056,SL,1749561645000,1749561810000
AVAXUSDT,SELL,22.3247673,22.2911688,1.0,0.0336,TP,1749561885000,1749561930000
AVAXUSDT,SELL,22.388760899999998,22.355162399999998,1.0,0.0336,TP,1749561990000,1749562050000
AVAXUSDT,SELL,22.257774,22.2241755,1.0,0.0336,TP,1749562125000,1749562290000
AVAXUSDT,SELL,22.219777800000003,22.186179300000003,1.0,0.0336,TP,1749562335000,1749562350000
AVAXUSDT,SELL,22.1327865,22.099188,1.0,0.0336,TP,1749562395000,1749562410000
AVAXUSDT,SELL,22.107789,22.0741905,1.0,0.0336,TP,1749562455000,1749562470000
AVAXUSDT,SELL,22.1117886,22.0781901,1.0,0.0336,TP,1749562515000,1749562530000
AVAXUSDT,SELL,21.987800999999997,22.043798499999998,1.0,-0.056,SL,1749562605000,1749562770000
AVAXUSDT,SELL,22.0247973,21.9911988,1.0,0.0336,TP,1749562785000,1749562890000
AVAXUSDT,SELL,21.9638034,21.9302049,1.0,0.0336,TP,1749562935000,1749562950000
AVAXUSDT,SELL,21.8968101,21.8632116,1.0,0.0336,TP,1749563025000,1749563070000
AVAXUSDT,SELL,21.9038094,21.8702109,1.0,0.0336,TP,1749563115000,1749563130000
AVAXUSDT,SELL,21.8418156,21.8082171,1.0,0.0336,TP,1749563175000,1749563190000
AVAXUSDT,SELL,21.887811,21.9438085,1.0,-0.056,SL,1749563250000,1749563430000
AVAXUSDT,SELL,21.9318066,21.9878041,1.0,-0.056,SL,1749563445000,1749563550000
AVAXUSDT,SELL,21.9858012,21.9522027,1.0,0.0336,TP,1749563565000,1749563730000
AVAXUSDT,BUY,21.9581956,21.9917941,1.0,0.0336,TP,1749563745000,1749563790000
AVAXUSDT,BUY,22.0162014,22.0497999,1.0,0.0336,TP,1749563865000,1749563910000
AVAXUSDT,BUY,22.0542052,21.9982077,1.0,-0.056,SL,1749563985000,1749564210000
