symbol,side,entry_px,exit_px,qty,pnl,outcome,entry_ts,exit_ts
BTCUSDT,BUY,109614.9604,109779.337,0.001,0.1644,TP,1749560910000,1749561495000
BTCUSDT,BUY,109760.975,109487.01400000001,0.001,-0.274,SL,1749561630000,1749562350000
BTCUSDT,SELL,109358.0631,109193.6865,0.001,0.1644,TP,1749562485000,1749562950000
BTCUSDT,SELL,108955.1034,109229.0644,0.001,-0.274,SL,1749563085000,1749563910000
BTCUSDT,SELL,109240.27488,109075.89828,0.001,0.1644,TP,1749563925000,1749564510000
BTCUSDT,SELL,108968.00211,108803.62551,0.001,0.1644,TP,1749564555000,1749565710000
BTCUSDT,SELL,108783.52055999999,108619.14395999999,0.001,0.1644,TP,1749565770000,1749566010000
BTCUSDT,SELL,108625.73634,108461.35974,0.001,0.1644,TP,1749566070000,1749566730000
BTCUSDT,SELL,108532.34568,108806.30668,0.001,-0.274,SL,1749566790000,1749568170000
BTCUSDT,SELL,108824.51646,109098.47746,0.001,-0.274,SL,1749568185000,1749568515000
BTCUSDT,SELL,108969.102,108804.7254,0.001,0.1644,TP,1749568530000,1749569490000
BTCUSDT,SELL,108773.92152,108609.54492,0.001,0.1644,TP,1749569535000,1749569550000
BTCUSDT,SELL,108320.1669,108594.12789999999,0.001,-0.274,SL,1749569625000,1749569730000
BTCUSDT,SELL,108617.1372,108891.0982,0.001,-0.274,SL,1749569745000,1749570810000
BTCUSDT,SELL,108905.1084,109179.0694,0.001,-0.274,SL,1749570825000,1749571350000
BTCUSDT,BUY,109180.61697,108906.65597,0.001,-0.274,SL,1749571425000,1749572490000
BTCUSDT,BUY,108920.59096999999,108646.62997,0.001,-0.274,SL,1749572505000,1749574410000
BTCUSDT,BUY,108654.26434,108818.64094,0.001,0.1644,TP,1749574425000,1749575250000
BTCUSDT,BUY,108867.48566,108593.52466000001,0.001,-0.274,SL,1749575310000,1749577950000
BTCUSDT,SELL,108762.82263,108598.44602999999,0.001,0.1644,TP,1749578010000,1749578430000
BTCUSDT,SELL,108581.94072,108855.90172,0.001,-0.274,SL,1749578550000,1749579570000
BTCUSDT,SELL,108831.31577999999,109105.27677999999,0.001,-0.274,SL,1749579585000,1749581295000
BTCUSDT,BUY,109135.9125,109300.28910000001,0.001,0.1644,TP,1749581385000,1749581790000
BTCUSDT,BUY,109353.53426,109517.91086,0.001,0.1644,TP,1749581850000,1749583050000
BTCUSDT,BUY,109428.54176000001,109592.91836000001,0.001,0.1644,TP,1749583095000,1749583230000
BTCUSDT,BUY,109642.16312,109806.53972,0.001,0.1644,TP,1749583395000,1749583590000
BTCUSDT,BUY,110082.70717,110247.08377,0.001,0.1644,TP,1749583665000,1749584130000
BTCUSDT,BUY,110268.92579,109994.96479,0.001,-0.274,SL,1749584190000,1749584610000
BTCUSDT,BUY,109983.69727,109709.73627000001,0.001,-0.274,SL,1749584625000,1749584910000
BTCUSDT,BUY,109715.27043,109441.30943000001,0.001,-0.274,SL,1749584925000,1749585210000
BTCUSDT,SELL,109426.85622,109262.47962,0.001,0.1644,TP,1749585270000,1749586050000
BTCUSDT,SELL,109339.065,109613.026,0.001,-0.274,SL,1749586110000,1749587850000
BTCUSDT,SELL,109600.0389,109873.9999,0.001,-0.274,SL,1749587865000,1749588930000
BTCUSDT,SELL,109918.0071,109753.6305,0.001,0.1644,TP,1749588945000,1749589410000
