symbol,side,entry_px,exit_px,qty,pnl,outcome,entry_ts,exit_ts
XRPUSDT,SELL,2.31336864,2.3098959900000002,50.0,0.1736,TP,1749559845000,1749560610000
XRPUSDT,SELL,2.3104689300000003,2.3069962800000003,50.0,0.1736,TP,1749560670000,1749560775000
XRPUSDT,SELL,2.3117688,2.30829615,50.0,0.1736,TP,1749560850000,1749560970000
XRPUSDT,SELL,2.3087691,2.30529645,50.0,0.1736,TP,1749561030000,1749561870000
XRPUSDT,SELL,2.3047695000000004,2.3012968500000004,50.0,0.1736,TP,1749561945000,1749562110000
XRPUSDT,SELL,2.30086989,2.29739724,50.0,0.1736,TP,1749562170000,1749562290000
XRPUSDT,SELL,2.2893710400000002,2.2858983900000003,50.0,0.1736,TP,1749562365000,1749562530000
XRPUSDT,SELL,2.28567141,2.29145916,50.0,-0.2894,SL,1749562605000,1749562770000
XRPUSDT,SELL,2.29127085,2.2877982,50.0,0.1736,TP,1749562785000,1749562890000
XRPUSDT,SELL,2.2887711,2.28529845,50.0,0.1736,TP,1749562950000,1749563010000
XRPUSDT,SELL,2.2877712,2.28429855,50.0,0.1736,TP,1749563055000,1749563070000
XRPUSDT,SELL,2.2885711200000003,2.2850984700000003,50.0,0.1736,TP,1749563130000,1749563190000
XRPUSDT,SELL,2.28837114,2.2848984900000002,50.0,0.1736,TP,1749563250000,1749564270000
XRPUSDT,SELL,2.28837114,2.2848984900000002,50.0,0.1736,TP,1749564330000,1749564510000
XRPUSDT,SELL,2.2847715,2.2905592500000003,50.0,-0.2894,SL,1749564570000,1749564795000
XRPUSDT,SELL,2.28847113,2.28499848,50.0,0.1736,TP,1749564810000,1749564990000
XRPUSDT,SELL,2.28387159,2.28039894,50.0,0.1736,TP,1749565065000,1749565710000
XRPUSDT,SELL,2.27957202,2.27609937,50.0,0.1736,TP,1749565770000,1749565950000
XRPUSDT,SELL,2.27287269,2.27866044,50.0,-0.2894,SL,1749566025000,1749566250000
XRPUSDT,SELL,2.2787721,2.27529945,50.0,0.1736,TP,1749566265000,1749566490000
XRPUSDT,SELL,2.27587239,2.27239974,50.0,0.1736,TP,1749566535000,1749566655000
XRPUSDT,SELL,2.27147283,2.27726058,50.0,-0.2894,SL,1749566790000,1749567930000
XRPUSDT,SELL,2.27687229,2.28266004,50.0,-0.2894,SL,1749567945000,1749568170000
XRPUSDT,BUY,2.27992797,2.28340062,50.0,0.1736,TP,1749568230000,1749568395000
XRPUSDT,BUY,2.28142812,2.28490077,50.0,0.1736,TP,1749568470000,1749568590000
XRPUSDT,BUY,2.28442842,2.2786406699999997,50.0,-0.2894,SL,1749568635000,1749569430000
XRPUSDT,BUY,2.27662764,2.27083989,50.0,-0.2894,SL,1749569445000,1749569550000
XRPUSDT,SELL,2.26037394,2.26616169,50.0,-0.2894,SL,1749569625000,1749569730000
XRPUSDT,SELL,2.26587339,2.27166114,50.0,-0.2894,SL,1749569745000,1749569970000
XRPUSDT,SELL,2.27167281,2.26820016,50.0,0.1736,TP,1749569985000,1749570090000
XRPUSDT,SELL,2.26937304,2.27516079,50.0,-0.2894,SL,1749570150000,1749570690000
XRPUSDT,SELL,2.27527245,2.2810602,50.0,-0.2894,SL,1749570705000,1749572070000
XRPUSDT,BUY,2.27992797,2.27414022,50.0,-0.2894,SL,1749572130000,1749572430000
XRPUSDT,BUY,2.2737273499999997,2.2679395999999996,50.0,-0.2894,SL,1749572445000,1749572730000
XRPUSDT,BUY,2.26902688,2.27249953,50.0,0.1736,TP,1749572745000,1749572850000
XRPUSDT,SELL,2.2734726299999997,2.2699999799999997,50.0,0.1736,TP,1749572865000,1749573450000
XRPUSDT,SELL,2.27037294,2.27616069,50.0,-0.2894,SL,1749573495000,1749574230000
XRPUSDT,SELL,2.27567241,2.27219976,50.0,0.1736,TP,1749574245000,1749574515000
XRPUSDT,SELL,2.27327265,2.2790604,50.0,-0.2894,SL,1749574575000,1749575370000
XRPUSDT,BUY,2.27832781,2.28180046,50.0,0.1736,TP,1749575415000,1749575730000
XRPUSDT,BUY,2.28142812,2.27564037,50.0,-0.2894,SL,1749575790000,1749576675000
XRPUSDT,BUY,2.27732771,2.2808003599999997,50.0,0.1736,TP,1749576690000,1749576870000
XRPUSDT,BUY,2.28292827,2.27714052,50.0,-0.2894,SL,1749576930000,1749577110000
XRPUSDT,BUY,2.27632761,2.27980026,50.0,0.1736,TP,1749577125000,1749577470000
XRPUSDT,BUY,2.28042802,2.28390067,50.0,0.1736,TP,1749577530000,1749577710000
XRPUSDT,BUY,2.28342832,2.28690097,50.0,0.1736,TP,1749577770000,1749578010000
XRPUSDT,BUY,2.28682866,2.2810409099999998,50.0,-0.2894,SL,1749578055000,1749578730000
